epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.522,1.70514,1.98943,1.61212,0.38871,0.59187,0.47551,0.28538,1.26398,1.54046,1.16748,0.00332715,0.00332715,0.00332715
2,281.393,1.20242,1.42156,1.16685,0.41923,0.56005,0.46282,0.2693,1.53969,1.46718,1.28269,0.00665886,0.00665886,0.00665886
3,395.734,1.20548,1.41533,1.16065,0.34307,0.54311,0.41465,0.24169,1.43357,1.71557,1.23166,0.00998405,0.00998405,0.00998405
4,509.438,1.19865,1.40394,1.16109,0.41083,0.55735,0.43339,0.26428,1.27808,1.58953,1.18483,0.00997803,0.00997803,0.00997803
5,624.267,1.16642,1.36246,1.14992,0.39765,0.56173,0.46521,0.28716,1.20425,1.63175,1.12135,0.00996097,0.00996097,0.00996097
6,742.043,1.14813,1.33024,1.14396,0.43774,0.5722,0.49372,0.30421,1.21683,1.41579,1.13837,0.00993906,0.00993906,0.00993906
7,856.364,1.13411,1.30636,1.13447,0.45737,0.58579,0.51298,0.31683,1.18306,1.40863,1.12706,0.00991232,0.00991232,0.00991232
8,967.282,1.11921,1.28697,1.13204,0.40568,0.58417,0.48772,0.30426,1.23622,1.54337,1.14368,0.00988079,0.00988079,0.00988079
9,1079.63,1.11345,1.26978,1.12833,0.48263,0.58372,0.52909,0.33079,1.1424,1.44746,1.10039,0.00984449,0.00984449,0.00984449
10,1192.6,1.10539,1.25822,1.12501,0.42657,0.59043,0.51808,0.32424,1.13425,1.41299,1.09686,0.00980345,0.00980345,0.00980345
11,1305.44,1.1009,1.24441,1.12304,0.41519,0.60681,0.51311,0.32305,1.1404,1.37312,1.10787,0.00975773,0.00975773,0.00975773
12,1416.4,1.09683,1.23597,1.12323,0.47576,0.61012,0.5376,0.34029,1.14368,1.33714,1.11333,0.00970736,0.00970736,0.00970736
13,1522.94,1.09223,1.22712,1.11832,0.47435,0.59447,0.53527,0.3391,1.12181,1.3352,1.09683,0.00965239,0.00965239,0.00965239
14,1632.82,1.08477,1.20977,1.11726,0.49474,0.60134,0.55453,0.35225,1.13896,1.29379,1.10439,0.00959289,0.00959289,0.00959289
15,1726.94,1.08413,1.20633,1.11505,0.46997,0.59598,0.53456,0.33997,1.11901,1.36269,1.09842,0.00952889,0.00952889,0.00952889
16,1828.37,1.07899,1.19618,1.11497,0.51182,0.60574,0.56787,0.36055,1.13391,1.31118,1.10687,0.00946048,0.00946048,0.00946048
17,1939.49,1.08199,1.19365,1.11523,0.52441,0.60847,0.57381,0.36642,1.10375,1.30305,1.09408,0.00938772,0.00938772,0.00938772
18,2052.01,1.07623,1.18498,1.11292,0.49571,0.62201,0.56949,0.35894,1.12867,1.28253,1.09822,0.00931067,0.00931067,0.00931067
19,2165.1,1.07348,1.1793,1.11073,0.50989,0.60712,0.56127,0.35737,1.10992,1.28111,1.09424,0.00922942,0.00922942,0.00922942
