epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9302,2.05726,2.08811,1.51415,0.29871,0.56404,0.37999,0.1738,1.81234,1.79884,1.40277,0.000550522,0.000550522,0.000550522
2,186.614,1.73647,1.64676,1.29199,0.19611,0.23687,0.16034,0.0499,3.14816,2.92639,2.23877,0.00110592,0.00110592,0.00110592
3,278.7,1.72552,1.65687,1.28409,0.29978,0.52569,0.39471,0.19762,1.67603,2.34285,1.34311,0.00166023,0.00166023,0.00166023
4,370.386,1.67169,1.59836,1.25666,0.31088,0.41976,0.33922,0.16507,1.80504,1.85047,1.43279,0.00166334,0.00166334,0.00166334
5,462.111,1.71879,1.61521,1.26146,0.26675,0.55588,0.39046,0.17832,1.7545,1.75597,1.31041,0.00166049,0.00166049,0.00166049
6,553.698,1.63861,1.56566,1.21641,0.44935,0.20848,0.18255,0.03871,2.80569,2.66102,1.92661,0.00165684,0.00165684,0.00165684
7,645.396,1.59021,1.50627,1.20266,0.28674,0.58488,0.4125,0.20039,1.63259,1.88511,1.30163,0.00165238,0.00165238,0.00165238
8,737.424,1.57641,1.49576,1.19751,0.22007,0.28501,0.17679,0.04774,2.56441,2.17162,1.88027,0.00164713,0.00164713,0.00164713
9,828.499,1.55661,1.49634,1.18822,0.39808,0.57618,0.45983,0.22444,1.63557,1.48582,1.25384,0.00164108,0.00164108,0.00164108
10,920.024,1.53353,1.50417,1.18511,0.43219,0.5922,0.49476,0.272,1.49724,1.44054,1.23081,0.00163424,0.00163424,0.00163424
11,1011.29,1.51766,1.44052,1.17466,0.36281,0.62291,0.48165,0.23228,1.71621,1.63007,1.29061,0.00162661,0.00162661,0.00162661
12,1102.88,1.44238,1.43234,1.14927,0.42242,0.55485,0.46394,0.17466,2.26206,1.55605,1.57871,0.00161822,0.00161822,0.00161822
13,1193.78,1.55377,1.44156,1.18949,0.31155,0.42372,0.31024,0.11345,2.14256,1.77594,1.63871,0.00160905,0.00160905,0.00160905
14,1284.24,1.48064,1.42585,1.15412,0.3913,0.49641,0.39723,0.15124,2.01944,1.71621,1.48641,0.00159913,0.00159913,0.00159913
15,1374.91,1.48496,1.39823,1.16286,0.37855,0.48484,0.37555,0.10247,2.55933,1.72227,1.7587,0.00158847,0.00158847,0.00158847
16,1465.06,1.51041,1.40146,1.17324,0.37093,0.60465,0.4789,0.28417,1.31719,1.42051,1.16407,0.00157706,0.00157706,0.00157706
17,1556.72,1.47968,1.38903,1.1531,0.41709,0.54416,0.46958,0.20081,2.00149,1.51721,1.40598,0.00156493,0.00156493,0.00156493
18,1648.25,1.42806,1.37657,1.1416,0.4415,0.59187,0.51699,0.28134,1.53249,1.41344,1.21665,0.00155209,0.00155209,0.00155209
19,1740.04,1.4083,1.35766,1.13718,0.43967,0.56334,0.47258,0.19768,2.04717,1.47863,1.42105,0.00153854,0.00153854,0.00153854
20,1831.16,1.39675,1.36632,1.1342,0.31037,0.39383,0.28477,0.06599,2.82001,1.87806,1.9745,0.00152431,0.00152431,0.00152431
21,1921.96,1.42201,1.38697,1.13569,0.43157,0.58382,0.49968,0.24508,1.71704,1.41051,1.34773,0.00150941,0.00150941,0.00150941
22,2013.01,1.40213,1.37033,1.1273,0.43418,0.59582,0.51645,0.26109,1.72132,1.37515,1.29323,0.00149384,0.00149384,0.00149384
23,2103.76,1.40799,1.33008,1.13213,0.42093,0.59857,0.5128,0.28682,1.49457,1.43388,1.20191,0.00147764,0.00147764,0.00147764
24,2194.4,1.36246,1.33199,1.1188,0.47971,0.61373,0.5557,0.33951,1.27046,1.29187,1.13587,0.0014608,0.0014608,0.0014608
25,2285.38,1.43395,1.33784,1.13702,0.47357,0.58949,0.52984,0.30991,1.33035,1.3554,1.14321,0.00144335,0.00144335,0.00144335
26,2375.9,1.38202,1.32412,1.1179,0.46961,0.59785,0.51994,0.31044,1.31368,1.3196,1.1436,0.00142531,0.00142531,0.00142531
27,2467.67,1.39019,1.32466,1.12991,0.48703,0.60925,0.54231,0.3302,1.24254,1.26523,1.12029,0.0014067,0.0014067,0.0014067
