epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,622.336,1.38374,1.83626,1.2835,0.35157,0.45989,0.3546,0.22312,1.36245,2.69616,1.14516,0.00333194,0.00333194,0.00333194
2,1220.03,1.13755,1.50455,1.11686,0.37156,0.47948,0.35564,0.20239,1.63419,2.36862,1.24664,0.00666487,0.00666487,0.00666487
3,1797.35,1.15191,1.50783,1.12342,0.30752,0.45744,0.33754,0.20344,1.54898,2.79865,1.20213,0.00999617,0.00999617,0.00999617
4,2366.19,1.1197,1.48011,1.11142,0.34028,0.47336,0.35745,0.2029,1.59996,2.48075,1.23829,0.0099945,0.0099945,0.0099945
5,2934.03,1.07473,1.43856,1.09466,0.37707,0.4795,0.37608,0.17887,1.91846,2.60806,1.39126,0.00999023,0.00999023,0.00999023
6,3503.69,1.05001,1.40717,1.08663,0.40022,0.49874,0.40792,0.26801,1.25287,2.0674,1.11327,0.00998474,0.00998474,0.00998474
7,4069.11,1.02949,1.38115,1.07738,0.40089,0.50656,0.41134,0.22173,1.67135,2.35059,1.26765,0.00997803,0.00997803,0.00997803
8,4637.46,1.01846,1.36367,1.07402,0.42774,0.50925,0.42172,0.22243,1.71828,2.28011,1.27985,0.00997011,0.00997011,0.00997011
9,5211.63,1.0034,1.34841,1.06854,0.42737,0.51149,0.42582,0.23887,1.60777,2.05354,1.23437,0.00996097,0.00996097,0.00996097
10,5778.11,0.99989,1.33843,1.06782,0.44537,0.5189,0.43705,0.23853,1.67114,2.04025,1.25814,0.00995062,0.00995062,0.00995062
11,6340.25,0.9936,1.32534,1.06361,0.4415,0.52617,0.44232,0.25417,1.58667,2.07468,1.21808,0.00993906,0.00993906,0.00993906
12,6901.56,0.98942,1.32265,1.06457,0.45496,0.52015,0.44489,0.2474,1.60309,2.04499,1.23014,0.00992629,0.00992629,0.00992629
13,7466.17,0.98408,1.31612,1.06159,0.45374,0.52688,0.44945,0.25246,1.60578,2.00465,1.23001,0.00991232,0.00991232,0.00991232
14,8032.95,0.97927,1.31005,1.05907,0.46369,0.5239,0.4541,0.25588,1.58471,1.91055,1.22065,0.00989715,0.00989715,0.00989715
15,8605.27,0.98255,1.30931,1.06127,0.45198,0.53429,0.45353,0.24604,1.66861,1.98356,1.25371,0.00988079,0.00988079,0.00988079
16,9193.94,0.9803,1.29772,1.06032,0.46764,0.53456,0.45883,0.25475,1.64541,1.98784,1.24347,0.00986323,0.00986323,0.00986323
17,9758.17,0.97098,1.29326,1.05551,0.46175,0.53195,0.46015,0.27994,1.44457,2.07882,1.1648,0.00984449,0.00984449,0.00984449
18,10324.4,0.97125,1.28871,1.05584,0.4608,0.53826,0.46267,0.26964,1.53269,2.07378,1.1972,0.00982456,0.00982456,0.00982456
19,10890.8,0.96907,1.28699,1.05603,0.46702,0.53583,0.46554,0.26497,1.58107,2.02973,1.21735,0.00980345,0.00980345,0.00980345
20,11459.9,0.97089,1.27341,1.05739,0.47324,0.5376,0.4717,0.27505,1.51081,1.97029,1.19151,0.00978118,0.00978118,0.00978118
21,12030.2,0.96387,1.27698,1.05331,0.47537,0.53965,0.4732,0.27884,1.48479,1.93408,1.18114,0.00975773,0.00975773,0.00975773
22,12598.5,0.96975,1.27632,1.05545,0.47032,0.53985,0.47175,0.28001,1.48106,1.9504,1.1772,0.00973312,0.00973312,0.00973312
23,13167.8,0.96368,1.27115,1.0529,0.47209,0.53952,0.4733,0.2803,1.48551,1.95128,1.17869,0.00970736,0.00970736,0.00970736
24,13735.7,0.95775,1.27087,1.05278,0.47286,0.54231,0.47537,0.28313,1.47246,1.94329,1.17395,0.00968045,0.00968045,0.00968045
25,14301.2,0.96051,1.26854,1.05303,0.47379,0.54368,0.47636,0.28345,1.47289,1.92833,1.175,0.00965239,0.00965239,0.00965239
