epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,398.104,1.98455,2.09171,1.49124,0.34586,0.48838,0.39161,0.21451,1.5184,2.49189,1.37839,0.00333194,0.00333194,0.00333194
2,755.063,1.66302,1.74972,1.27468,0.30255,0.50582,0.32104,0.11946,1.93485,2.48662,1.51537,0.00666487,0.00666487,0.00666487
3,1109.2,1.6912,1.77833,1.28291,0.30334,0.41703,0.30708,0.13573,1.80181,2.17268,1.4594,0.00999617,0.00999617,0.00999617
4,1457.12,1.65436,1.74697,1.2656,0.34895,0.51399,0.39274,0.18834,1.677,2.48993,1.37468,0.0099945,0.0099945,0.0099945
5,1804.02,1.55398,1.67174,1.224,0.36822,0.54946,0.40397,0.21359,1.54722,2.14527,1.30903,0.00999023,0.00999023,0.00999023
6,2200.42,1.48957,1.61898,1.19851,0.36097,0.54932,0.41852,0.20616,1.70623,1.99242,1.3798,0.00998474,0.00998474,0.00998474
7,2571.01,1.45818,1.5932,1.18797,0.38023,0.54696,0.4318,0.22388,1.55366,1.90866,1.30893,0.00997803,0.00997803,0.00997803
8,2914.52,1.43035,1.56498,1.17527,0.38735,0.55668,0.43807,0.24561,1.45681,1.84394,1.26847,0.00997011,0.00997011,0.00997011
9,3263.1,1.40256,1.55531,1.1674,0.39988,0.56831,0.45932,0.2446,1.57275,2.00736,1.30918,0.00996097,0.00996097,0.00996097
10,3739.3,1.39111,1.53818,1.16112,0.40645,0.54948,0.44949,0.22118,1.73468,1.84481,1.40301,0.00995062,0.00995062,0.00995062
11,4243.7,1.3812,1.52644,1.15648,0.42061,0.55663,0.46702,0.25219,1.50985,1.82662,1.27871,0.00993906,0.00993906,0.00993906
12,4747.88,1.36261,1.51778,1.15316,0.41524,0.55525,0.45707,0.24452,1.5633,1.71678,1.30562,0.00992629,0.00992629,0.00992629
13,5164.18,1.35675,1.51204,1.15011,0.40355,0.56606,0.46093,0.2489,1.54715,1.75503,1.29791,0.00991232,0.00991232,0.00991232
14,5513.37,1.35274,1.49444,1.14667,0.42961,0.56512,0.47255,0.25289,1.56609,1.72333,1.30745,0.00989715,0.00989715,0.00989715
15,5861.85,1.34701,1.49803,1.14583,0.42485,0.56573,0.47108,0.2523,1.575,1.73593,1.31112,0.00988079,0.00988079,0.00988079
16,6217.47,1.33837,1.48845,1.1438,0.41833,0.56476,0.46683,0.24546,1.60861,1.73701,1.32224,0.00986323,0.00986323,0.00986323
17,6738.69,1.3351,1.4887,1.14128,0.43673,0.57444,0.48484,0.2633,1.53566,1.7345,1.28637,0.00984449,0.00984449,0.00984449
18,7227.97,1.32939,1.47629,1.13976,0.43207,0.57058,0.47558,0.23913,1.71717,1.73658,1.37632,0.00982456,0.00982456,0.00982456
19,7566.66,1.32772,1.47791,1.14078,0.44266,0.55569,0.47632,0.2484,1.64712,1.71953,1.3401,0.00980345,0.00980345,0.00980345
20,7906.55,1.3207,1.47237,1.13904,0.44343,0.55841,0.47855,0.2504,1.65022,1.71818,1.34436,0.00978118,0.00978118,0.00978118
21,8407.1,1.31744,1.46585,1.13537,0.44405,0.55256,0.47667,0.24472,1.69421,1.71364,1.3683,0.00975773,0.00975773,0.00975773
22,8910.15,1.30896,1.46101,1.1337,0.43978,0.56108,0.47385,0.23976,1.72164,1.70743,1.38389,0.00973312,0.00973312,0.00973312
23,9413.64,1.31154,1.46202,1.13367,0.44082,0.56034,0.47837,0.24564,1.69202,1.71089,1.3661,0.00970736,0.00970736,0.00970736
24,9783.48,1.30453,1.4587,1.13128,0.44291,0.55337,0.47706,0.24498,1.69344,1.70396,1.36556,0.00968045,0.00968045,0.00968045
25,10169.2,1.30357,1.4486,1.13033,0.44099,0.55486,0.47778,0.24519,1.69682,1.69515,1.36606,0.00965239,0.00965239,0.00965239
26,10511.7,1.30366,1.45816,1.12887,0.44375,0.54948,0.47841,0.24621,1.68978,1.69411,1.362,0.0096232,0.0096232,0.0096232
27,10856,1.30178,1.45214,1.12795,0.44383,0.54731,0.47905,0.24662,1.68843,1.68675,1.36063,0.00959289,0.00959289,0.00959289
28,11196.8,1.30035,1.44915,1.12929,0.44344,0.55034,0.48018,0.24858,1.68098,1.68449,1.35646,0.00956145,0.00956145,0.00956145
29,11536.5,1.29338,1.43357,1.12585,0.44658,0.54847,0.481,0.25113,1.66175,1.67717,1.34684,0.00952889,0.00952889,0.00952889
30,11879.5,1.29887,1.43916,1.12694,0.44593,0.54824,0.48133,0.25045,1.66785,1.67795,1.35052,0.00949524,0.00949524,0.00949524
31,12333,1.29573,1.445,1.12664,0.44825,0.54808,0.48156,0.24976,1.67454,1.68117,1.35349,0.00946048,0.00946048,0.00946048
32,12672.4,1.2903,1.43593,1.12509,0.44852,0.54966,0.48234,0.25017,1.67509,1.68331,1.35343,0.00942464,0.00942464,0.00942464
33,13062.7,1.28521,1.44261,1.12781,0.44821,0.55136,0.48261,0.2504,1.67285,1.68428,1.3524,0.00938772,0.00938772,0.00938772
34,13403,1.29143,1.43513,1.12852,0.44837,0.55414,0.48335,0.2517,1.66587,1.68694,1.34869,0.00934973,0.00934973,0.00934973
35,13796.6,1.28572,1.43871,1.12607,0.4485,0.55652,0.48396,0.25267,1.66416,1.68567,1.34766,0.00931067,0.00931067,0.00931067
36,14131.5,1.28405,1.43693,1.12687,0.45032,0.55732,0.48511,0.25414,1.65607,1.68549,1.34385,0.00927057,0.00927057,0.00927057
37,14478.4,1.28483,1.42969,1.12555,0.45135,0.55551,0.48667,0.25616,1.64504,1.68308,1.33812,0.00922942,0.00922942,0.00922942
38,14815.7,1.27771,1.43746,1.11968,0.4526,0.5578,0.48814,0.25786,1.63557,1.68027,1.33347,0.00918725,0.00918725,0.00918725
39,15158.7,1.27882,1.41422,1.12142,0.45268,0.55973,0.48907,0.25903,1.63138,1.67886,1.33147,0.00914405,0.00914405,0.00914405
40,15496.5,1.27293,1.42637,1.12113,0.45435,0.55726,0.49035,0.25982,1.62892,1.67837,1.33053,0.00909984,0.00909984,0.00909984
41,15885.1,1.27539,1.42213,1.12243,0.45562,0.55898,0.49104,0.26042,1.62749,1.67719,1.32981,0.00905463,0.00905463,0.00905463
42,16379.1,1.27753,1.41687,1.11925,0.45486,0.56104,0.49116,0.26051,1.62316,1.67538,1.32767,0.00900844,0.00900844,0.00900844
43,16883.1,1.27587,1.42189,1.12117,0.45467,0.55661,0.49111,0.26101,1.62042,1.67261,1.32644,0.00896127,0.00896127,0.00896127
44,17224.7,1.27742,1.42068,1.11995,0.4539,0.55876,0.49143,0.26202,1.61674,1.67217,1.32464,0.00891313,0.00891313,0.00891313
45,17567.2,1.27293,1.42054,1.11945,0.45611,0.55309,0.49169,0.26289,1.61225,1.66976,1.3223,0.00886404,0.00886404,0.00886404
46,17909.2,1.27016,1.42014,1.11614,0.45617,0.55471,0.49191,0.26286,1.61267,1.6711,1.32258,0.00881401,0.00881401,0.00881401
47,18250.3,1.27048,1.41641,1.11896,0.45742,0.5528,0.49275,0.26335,1.61314,1.67018,1.32281,0.00876305,0.00876305,0.00876305
48,18592.7,1.26934,1.42176,1.11725,0.45685,0.55366,0.49429,0.26487,1.6074,1.66968,1.31975,0.00871117,0.00871117,0.00871117
49,19067.8,1.26693,1.41462,1.11928,0.4566,0.5522,0.49499,0.26529,1.60702,1.66978,1.31942,0.00865839,0.00865839,0.00865839
50,19435.4,1.26657,1.41316,1.11774,0.45691,0.55141,0.49571,0.26639,1.60106,1.66978,1.31633,0.00860473,0.00860473,0.00860473
51,19780.5,1.26571,1.40971,1.11936,0.45679,0.55383,0.49608,0.26659,1.59979,1.66872,1.31578,0.00855018,0.00855018,0.00855018
52,20272.5,1.26137,1.40436,1.11746,0.45796,0.5538,0.49627,0.26674,1.60148,1.66763,1.31692,0.00849477,0.00849477,0.00849477
53,20614.9,1.26308,1.4018,1.11779,0.46064,0.55369,0.49706,0.26766,1.59768,1.66786,1.31523,0.00843851,0.00843851,0.00843851
54,20997.7,1.26474,1.39807,1.1143,0.4593,0.55815,0.49816,0.26847,1.59288,1.66661,1.31313,0.00838141,0.00838141,0.00838141
55,21338,1.25583,1.41091,1.11665,0.46141,0.55847,0.4992,0.27028,1.5834,1.66714,1.30876,0.00832349,0.00832349,0.00832349
56,21826.2,1.26216,1.40186,1.11515,0.46194,0.561,0.5005,0.27146,1.57981,1.66641,1.30715,0.00826477,0.00826477,0.00826477
57,22326.5,1.2635,1.40869,1.11659,0.46197,0.56295,0.50122,0.2721,1.57716,1.66922,1.30619,0.00820525,0.00820525,0.00820525
58,22799.6,1.25658,1.40377,1.11637,0.46219,0.56353,0.50157,0.27264,1.57483,1.66854,1.30489,0.00814495,0.00814495,0.00814495
59,23148.8,1.25529,1.39595,1.11196,0.46395,0.56204,0.50194,0.273,1.5731,1.66895,1.30464,0.00808389,0.00808389,0.00808389
60,23489.1,1.25334,1.38814,1.1131,0.46072,0.56816,0.50265,0.27289,1.57482,1.66904,1.30572,0.00802208,0.00802208,0.00802208
61,23974.9,1.25656,1.40101,1.11575,0.46169,0.56655,0.50316,0.27259,1.5783,1.66954,1.30782,0.00795954,0.00795954,0.00795954
62,24315.3,1.25529,1.39333,1.11437,0.4631,0.56667,0.50317,0.27223,1.58263,1.66859,1.30984,0.00789628,0.00789628,0.00789628
63,24653.1,1.249,1.39444,1.11278,0.4645,0.56367,0.50303,0.27197,1.58771,1.66762,1.31263,0.00783231,0.00783231,0.00783231
64,24992.8,1.25394,1.38683,1.11301,0.46571,0.5669,0.50389,0.27232,1.58593,1.6667,1.31191,0.00776766,0.00776766,0.00776766
65,25361.7,1.24911,1.39008,1.11185,0.46478,0.56303,0.50363,0.27177,1.58891,1.66779,1.31319,0.00770234,0.00770234,0.00770234
66,25863.4,1.24913,1.38566,1.11149,0.46568,0.56516,0.50385,0.27096,1.5945,1.66674,1.31566,0.00763637,0.00763637,0.00763637
67,26225,1.24528,1.39146,1.1097,0.46542,0.56615,0.50509,0.27134,1.59519,1.66589,1.31607,0.00756976,0.00756976,0.00756976
68,26558.3,1.24671,1.38454,1.10818,0.46861,0.56506,0.50637,0.27223,1.59345,1.66617,1.31554,0.00750252,0.00750252,0.00750252
69,26890.3,1.24429,1.38231,1.10841,0.46977,0.56207,0.50726,0.2731,1.59256,1.66548,1.31496,0.00743468,0.00743468,0.00743468
70,27281.6,1.24403,1.38487,1.1079,0.47049,0.56175,0.508,0.27365,1.59065,1.6632,1.31386,0.00736625,0.00736625,0.00736625
71,27636.2,1.24348,1.38159,1.11095,0.47375,0.56079,0.50855,0.27442,1.58681,1.66295,1.312,0.00729725,0.00729725,0.00729725
72,27961.8,1.23982,1.38202,1.10691,0.47119,0.56457,0.50969,0.27593,1.57784,1.66286,1.3076,0.0072277,0.0072277,0.0072277
73,28294.7,1.23931,1.38261,1.10793,0.47206,0.56175,0.51014,0.27648,1.57451,1.66207,1.3059,0.00715761,0.00715761,0.00715761
74,28618.7,1.2411,1.3797,1.10792,0.47383,0.56136,0.51086,0.2776,1.57041,1.66155,1.30414,0.007087,0.007087,0.007087
75,28950.3,1.23381,1.37774,1.1061,0.47462,0.562,0.51214,0.27888,1.56502,1.66149,1.30194,0.00701588,0.00701588,0.00701588
76,29281.1,1.23551,1.37258,1.1042,0.47612,0.56171,0.51334,0.27958,1.56364,1.65994,1.30125,0.00694428,0.00694428,0.00694428
77,29611.3,1.23419,1.37826,1.10552,0.47754,0.56033,0.51508,0.28112,1.55946,1.66036,1.29917,0.00687222,0.00687222,0.00687222
78,29939.2,1.23347,1.37687,1.10378,0.47748,0.56026,0.5154,0.28106,1.55983,1.6614,1.29916,0.0067997,0.0067997,0.0067997
79,30271,1.24221,1.38197,1.10881,0.47514,0.56366,0.51523,0.28104,1.55977,1.66284,1.29903,0.00672675,0.00672675,0.00672675
80,30599.8,1.2418,1.37593,1.10948,0.47721,0.5637,0.51608,0.28187,1.56036,1.66057,1.29898,0.00665339,0.00665339,0.00665339
81,30932.6,1.23393,1.36963,1.10376,0.47952,0.5629,0.51721,0.28251,1.55846,1.65688,1.29817,0.00657963,0.00657963,0.00657963
82,31263.1,1.23286,1.37274,1.10561,0.47877,0.56645,0.51811,0.28361,1.5586,1.65487,1.29864,0.0065055,0.0065055,0.0065055
83,31589,1.22685,1.36367,1.10507,0.47953,0.5653,0.51881,0.28392,1.56119,1.65402,1.30017,0.00643101,0.00643101,0.00643101
84,31916.4,1.22668,1.37089,1.10329,0.48054,0.56488,0.51948,0.28396,1.56542,1.65392,1.30237,0.00635617,0.00635617,0.00635617
85,32262.7,1.22918,1.36449,1.10493,0.48007,0.5681,0.52054,0.28393,1.56918,1.65308,1.30406,0.00628101,0.00628101,0.00628101
86,32590.4,1.22899,1.36762,1.10631,0.47983,0.57105,0.52064,0.28402,1.56947,1.65081,1.30414,0.00620555,0.00620555,0.00620555
87,32918.5,1.22424,1.36169,1.10219,0.48002,0.57079,0.52067,0.28428,1.56886,1.64794,1.30399,0.00612981,0.00612981,0.00612981
88,33250.1,1.22397,1.3619,1.10289,0.48369,0.56837,0.52206,0.28517,1.56561,1.64728,1.30247,0.0060538,0.0060538,0.0060538
89,33570.1,1.2229,1.36604,1.10375,0.48508,0.56719,0.52207,0.28506,1.56688,1.64641,1.30282,0.00597754,0.00597754,0.00597754
90,33902.9,1.22591,1.36791,1.1027,0.48475,0.56709,0.52273,0.28538,1.56766,1.64547,1.30319,0.00590105,0.00590105,0.00590105
91,34233,1.22024,1.35902,1.10178,0.48452,0.56848,0.52316,0.28617,1.56363,1.64775,1.3014,0.00582435,0.00582435,0.00582435
92,34562.7,1.2191,1.35684,1.10196,0.48488,0.56629,0.52322,0.28641,1.56201,1.64674,1.30085,0.00574746,0.00574746,0.00574746
93,34889.6,1.22024,1.35155,1.10013,0.48654,0.56575,0.52396,0.28722,1.55696,1.6467,1.29841,0.0056704,0.0056704,0.0056704
94,35214.1,1.21331,1.35105,1.09771,0.4857,0.56743,0.52464,0.28808,1.55324,1.64445,1.29705,0.00559318,0.00559318,0.00559318
95,35541.4,1.21716,1.35744,1.10037,0.48716,0.5653,0.52541,0.28865,1.55393,1.64393,1.29739,0.00551584,0.00551584,0.00551584
96,35875.3,1.21161,1.34902,1.0971,0.48675,0.56585,0.52573,0.28869,1.5574,1.64305,1.29918,0.00543837,0.00543837,0.00543837
97,36211.6,1.21296,1.34832,1.09792,0.48521,0.5712,0.52644,0.28849,1.5597,1.64351,1.30024,0.00536081,0.00536081,0.00536081
98,36544.5,1.21491,1.34957,1.10073,0.486,0.57198,0.52673,0.28868,1.56034,1.64389,1.30052,0.00528318,0.00528318,0.00528318
99,36890.6,1.21041,1.34504,1.09708,0.48518,0.57356,0.52682,0.28845,1.56345,1.64431,1.30171,0.00520548,0.00520548,0.00520548
100,37211.7,1.20786,1.34401,1.09782,0.48586,0.57288,0.52722,0.28863,1.56394,1.64574,1.3023,0.00512775,0.00512775,0.00512775
101,37540.7,1.20767,1.34619,1.09727,0.48593,0.5712,0.52724,0.28799,1.56968,1.64794,1.30498,0.00505,0.00505,0.00505
102,37876.9,1.20779,1.34423,1.09769,0.48714,0.57108,0.52757,0.28785,1.57135,1.64481,1.30564,0.00497225,0.00497225,0.00497225
103,38224.6,1.20399,1.3413,1.09681,0.48842,0.56954,0.52857,0.28858,1.56914,1.64394,1.30452,0.00489452,0.00489452,0.00489452
